"Category ID
#ID","Visible?
#VISIBLE","Unique URL (only ""a-z 0-9"" or ""-"")
#SLUG","Category Name
#NAME","Category description (can be multi-line text) - optional
#DESCRIPTION","Category Icon (URL) - optional
#ICON",,,,,,,,,,,,,,,,,,,,,,
1,Show,where-to-go-first,Where to go first,"Are you new to the Netherlands, or have you recently left the asylum seeker's  centrum after your asylum rejection? These are the most important organizations for you to know.",https://raw.githubusercontent.com/rodekruis/OCHA-Humanitarian-Icons/main/svg/Needs-assessment.svg,,,,,,,,,,,,,,,,,,,,,,
2,Show,shelter,Shelter,"Find here information about temporary places to sleep at night, or spend time during the day.


The Dutch government does not provide permanent (emergency) shelters. It is also prohibited to sleep on the street. You have the right to rent an apartment, but this may be challenging and often requires certain documents. In case you have a negative asylum decision you can apply for shelter at the LVV program.  
",https://raw.githubusercontent.com/rodekruis/OCHA-Humanitarian-Icons/main/svg/Shelter.svg,,,,,,,,,,,,,,,,,,,,,,
3,Hide,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Show,health-wellbeing,Health & Wellbeing,"Dutch residents are required to have health insurance. But also when you don't have an insurence, you still have the right to get necessary medical support.

The Netherlands Red Cross does not provide medical services. But, we have listed the organisations that provide free or affordable options. 

To learn more about the Dutch healthcare system contact our WhatsApp helpdesk with the green button below.",https://raw.githubusercontent.com/rodekruis/OCHA-Humanitarian-Icons/main/svg/Doctor.svg,,,,,,,,,,,,,,,,,,,,,,
5,Show,dentist,Dentist,"You can visit any dentist you want if you are able to pay, but there are limited affordable / free options available. Select an option below for more information and contact details of dental services for people who are undocumented.",https://raw.githubusercontent.com/rodekruis/510-ICON-LIBRARY/master/Dentist.svg,,,,,,,,,,,,,,,,,,,,,,
6,Show,safety-protection,Safety & Protection,"Get access to emergency services and protection from violence, abuse, and work exploitation. 


",https://raw.githubusercontent.com/rodekruis/OCHA-Humanitarian-Icons/main/svg/Protection.svg,,,,,,,,,,,,,,,,,,,,,,
7,Show,food-clothing,Food & Clothing,Learn more about food and clothing iniatives in the city. ,https://raw.githubusercontent.com/rodekruis/510-ICON-LIBRARY/master/Food%20%26%20Clothing%20logo.svg,,,,,,,,,,,,,,,,,,,,,,
8,Show,work,Work,"
Everyone who works in the Netherlands has the same labour rights, also if you do not have a legal status. As income is needed to support your daily life, we understand that a job is sometimes needed. In case you do have a job, you still have labour rights (minimum wage, payment during illness, days off) and have the rights to get protection when you are unsafe/exploited. 
If you work without a residence permit or passport, you have labour rights just like everyone in the Netherlands. Labour rights are human rights and they apply to everyone, regardless of your residence status. Therefore they also apply to you, even if you work in the informal sector or without a contract.
 
If you are forced to work onder bad conditions and you earn little money, ask for help! 

**The Red Cross cannot help you find a job**
",https://rodekruis.github.io/OCHA-Humanitarian-Icons/svg/Trade-and-market.svg,,,,,,,,,,,,,,,,,,,,,,
9,Show,asylum,Asylum & Return,Here you can find information about asylum procedure and return,https://raw.githubusercontent.com/rodekruis/510-ICON-LIBRARY/master/Asylum%20procedure.svg,,,,,,,,,,,,,,,,,,,,,,
10,Show,legal-advice,Legal Advice,"Do you need legal help? Get information about where to go for advice on your legal status or other questions about the law in the Netherlands.

Without legal status it is not possible to get:
- a citizen service number (burgerservicenummer or BSN)
- social security (bijstand)
- a bank account
- a driving licence

If you give birth without legal status, your child will not be automatically documented.",https://raw.githubusercontent.com/rodekruis/OCHA-Humanitarian-Icons/main/svg/Rule-of-law-and-justice.svg,,,,,,,,,,,,,,,,,,,,,,
11,Show,search-missing-relatives,Search Missing Relatives,"Did you lose a family member and you want help in your search?
Or you know where he/she is, but you cannot get in touch? The Red Cross can help you to search for missing relatives in other countries and get in touch with them.",/assets/icons/Restoring-family-links-3-100-100-2.svg,,,,,,,,,,,,,,,,,,,,,,
12,Show,women,Women,As women you can be more vulnerable in some situations. Here you can find information on your rights when you are pregnant and the help you can get. You can also find information on hygiene products and organizations that are specialized in help for undocumented women. ,https://rodekruis.github.io/OCHA-Humanitarian-Icons/svg/Person-1.svg,,,,,,,,,,,,,,,,,,,,,,
13,Show,children,Children & Youth,"Learn more about the available care, activities and education for undocumentend children in the Netherlands.

According to the Convention on the Rights of the Child, children without a residence permit may not be treated differently from children with a residence permit. This means that they have the right to education, youth care and shelter. ",https://raw.githubusercontent.com/rodekruis/OCHA-Humanitarian-Icons/84a877dd2fc709555f3e7d9f5afa370e51a47ef7/svg/Children.svg,,,,,,,,,,,,,,,,,,,,,,
14,Show,activities,Courses & Activities ,"For people without legal status and who are above 18 it is not possible to go to school. But organisations offer (language) courses and activities that you can follow. 

",https://raw.githubusercontent.com/rodekruis/510-ICON-LIBRARY/master/Activities%20V2.svg,,,,,,,,,,,,,,,,,,,,,,
15,Show,feedback,Feedback,"Give us feedback on this website! For example if you miss information or information is incorrect.

Please fill in the feedback-form at:
**https://ee.ifrc.org/x/hUvqfxtS**",https://raw.githubusercontent.com/rodekruis/OCHA-Humanitarian-Icons/84a877dd2fc709555f3e7d9f5afa370e51a47ef7/svg/Chat.svg,,,,,,,,,,,,,,,,,,,,,,
16,Show,helpdesk,Helpdesk & Social Support,There are multiple organizations throughout Amsterdam where you can go for (social) support. At these organizations they can help you with many different questions and direct you to the right help.,https://rodekruis.github.io/OCHA-Humanitarian-Icons/svg/Group.svg,,,,,,,,,,,,,,,,,,,,,,
