LINK,DESCRIPTION
https://helpfulinformation.redcross.nl/den-haag/shelter/day-shelter,You are able to stay here during the day.
https://helpfulinformation.redcross.nl/den-haag/shelter/night-shelter,You may be able to stay here during the night.
https://helpfulinformation.redcross.nl/den-haag/legal-advice/legal-advice,"Do you need legal help? Get information about where to go for advice on your legal status or other questions about the law in the Netherlands.  Without legal status it is not possible to get: - a citizen service number (burgerservicenummer or BSN) - social security (bijstand) - a bank account - a driving licence  If you give birth without legal status, your child will not be automatically documented."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/documents,Here you can find documents and other materials that can help you understand the healthcare system in the Netherlands.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/emergency-lines,You have the right to call 112 and to go to the hospital in the case of medical emergencies.  
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/doctor,You have the right to see a family doctor and to call the huisartsenpost outside of regular hours. There are also organisations that provide health care specially for people who are undocumented Select an option below for more information and contact details. 
https://helpfulinformation.redcross.nl/den-haag/dentist/dentist,"You can visit any dentist you want if you are able to pay, but there are limited affordable / free options available. Select an option below for more information and contact details of dental services for people who are undocumented.  "
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/medication,You have the right to get necessary medication with a referral from the doctor.  There may often be a small fee for medication.  Select an option below for more information and contact details. 
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/sexual-health,Here you can find information about where you can get tested for STDs (SOA's) and how to get medicine when you are HIV positive.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/mental-wellbeing,"You have the right to get mental and emotional support. For example if you worry too much, have trouble sleeping or want to talk about other emotional problems. Select an option below for more information and contact details."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/safety-protection,"Without legal status you have the right and possibility to contact the police, fire departement or an ambulance. You can safely report a crime or when there is an emergency or you are in danger you can call the emergy services. You can find more information about these services here below.   "
https://helpfulinformation.redcross.nl/den-haag/search-missing-relatives/find-family,The Red Cross can help you to search for missing relatives in other countries and get in touch with them. You can find more information here below. 
https://helpfulinformation.redcross.nl/den-haag/food-clothing/food,Here you can find more information about where you can get food.
https://helpfulinformation.redcross.nl/den-haag/food-clothing/clothing,Here you can find more information about where you can get clothing.
https://helpfulinformation.redcross.nl/den-haag/children/care,
https://helpfulinformation.redcross.nl/den-haag/children/childrens-rights,"According to the Convention on the Rights of the Child, children without a residence permit may not be treated differently from children with a residence permit. This means that they have the right to education, youth care and shelter. Find here more information about organisations that can support undocumented childeren. "
https://helpfulinformation.redcross.nl/den-haag/children/financial-help,Here you can find information about financial support for you and your children.
https://helpfulinformation.redcross.nl/den-haag/activities/activities,For people without legal status and who are above 18 it is not possible to go to school. But organisations offer (language) courses and activities that you can follow.
https://helpfulinformation.redcross.nl/den-haag/where-to-go-first/go-first,Here are the most important locations you need to know if you've just arrived in the Netherlands or have recently left the asylum seekers centrum.
https://helpfulinformation.redcross.nl/den-haag/asylum/first-asylum-request,Find information about where you can go for your first asylum request
